
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-05-22 14:30:29 /api/auth/me ............................... ~ 500.51ms
  2026-05-22 14:30:29 /api/auth/me ................................. ~ 0.04ms
  2026-05-22 14:30:29 /api/super-admin/analytics ................... ~ 0.07ms
  2026-05-22 14:30:29 /api/super-admin/revenue ..................... ~ 0.24ms
  2026-05-22 14:30:29 /api/notifications ........................... ~ 0.41ms
  2026-05-22 14:30:32 /api/auth/me ................................. ~ 0.11ms
  2026-05-22 14:30:32 /api/auth/me ................................. ~ 0.03ms
  2026-05-22 14:30:32 /api/super-admin/plans ....................... ~ 0.04ms
  2026-05-22 14:30:32 /api/notifications ........................... ~ 0.22ms
